ID,text,sexism,gender,hostile,misogyny,misandry
0,一般在床上让女友喊爸爸,1,1,0,-1,-1
1,同感！我想了下这跟家庭潜移默化的影响挺大了我妈女强我爸闲不下来的那种这几年迷上马拉松每天五点起跑40km,0,2,0,-1,-1
2,非常实用，我以前非常不屑粉色，现在特别萌一些少女的东西。但是能令我产生一点点愉悦的东西都很珍惜！,0,1,0,-1,-1
3,女人外表不好看是投胎品味差，或者身材管理品味差，或者打扮的品味差，或者都差呗！,1,0,1,-1,-1
4,女奸男不算罪,1,2,0,-1,-1
5,无色透明看都看不到，难道女性在你眼中的形象就是看不到的么？这是对女性的忽视，你个直男癌（滑稽）,1,1,1,-1,-1
6,对啊、我就感觉这难道不是校园欺凌造成的凄惨后果吗？为什么答主还有一些人就觉得这个男生活该这样呢？,0,1,0,-1,-1
7,如果玩 被拍摄，然后女方告丈夫婚内强奸并要求离婚，家产归女方。法院支持不？,0,1,0,-1,-1
8,贤惠本身并不是什么贬义词，只不过在这个网络横行的时代，已经没几个词算是好词了。,0,0,0,-1,-1
9,这楼真可怕，挺多田原女犬还是很能讲歪理的,1,0,1,-1,-1
10,其实根本就不是题主抢着掏钱好吗？而且你不掏男友也不掏这样很尴尬好吗？！！！男生不应该主动吗？！,0,1,0,-1,-1
11,爆出来的大多是男生，艾滋病确实有潜伏期。但是不可能女生的潜伏期比男生长吧，男生得病的多，这是事实啊。,0,1,0,-1,-1
12,男权为了反女权真是什么恶都能作，高。,0,0,0,-1,-1
13,这么防的话，受损失的更多是女性，因为强奸是客观的物理伤害，但是污蔑的伤害的前提是「信任」,0,0,0,-1,-1
14,就跟夸男的，踏实这个词一样吧。,0,1,0,-1,-1
15,恶心的人那个男的和那些女人,1,2,0,-1,-1
16,我就是觉得男主太可怜[大哭],0,1,0,-1,-1
17,只是因为喜欢看女生打篮球[捂嘴],0,1,0,-1,-1
18,挑选范围窄了，自身条件不好，遇到好男人的机会也就少了呀，嫁个酒鬼赌鬼家暴岂不完蛋，嫁人的确简单，但是能保证嫁了人的生活比不嫁人好，就不简单了。,0,0,0,-1,-1
19,是啊，看男主角就不舒服，愤青搁哪都让人烦，把这个角色改改能让电影好看很多。,0,0,0,-1,-1
20,外甥女小时候看西游记动画片，跟着唱主题曲，有一天我看她一直唱：小八棍儿，小八棍儿，，，正确字幕我忘记了(~_~;),0,0,0,-1,-1
21,天啊年少不懂事的时候看觉得哇怎么会有书桓这么好的男人到现在才搞懂剧情的我非常恶心这种人,1,1,1,-1,-1
22,贤惠一听就是取悦男人的，同样的，夸小孩子乖一看就是取悦大人的，夸要夸到点子上，要夸人的本质，比如贤惠可以换成勤快啦。,1,0,0,-1,-1
23,拐卖妇女儿童，绑架罪是以钱财为目的，单纯为了报复而绑架，属于非法拘禁罪,0,2,0,-1,-1
24,前男票说要一起去美国，然后养条金毛，本来怕狗的，唯独喜欢上了大金毛哈哈,0,0,0,-1,-1
25,呵呵，对女性的深深的恶意啊...,1,0,0,-1,-1
26,233666为小仙女老司机疯狂打胎！,1,0,1,-1,-1
27,这个女的是让我最恶心的一个,1,0,1,-1,-1
28,女娃子太狠了没打过,1,0,0,-1,-1
29,我跟你说我和女朋友玩游戏对面有女的，我不杀她，我女朋友杀我，懂我意思吧。,0,1,0,-1,-1
30,我可没有去侮辱别人。无论男女。 女性也存在对女性的侮辱，这一点你可以去微博看看。 这依然是一个素质问题。女性也有骂人娘炮的，这跟素质关系更大。,0,2,0,-1,-1
31,我相信你肯定是个码农，不过你把女生说得太不堪入目吧，为什么打比喻不能换成男的。像那些医学生的尸体人模什么的都用男生的。,1,0,0,-1,-1
32,不是说女的出轨么？,1,0,0,-1,-1
33,日本女人脑子莫不是有病？当时日本女的地位那么低还有这自信为国争光啊，感觉你说的不太真实,1,0,1,-1,-1
34,女大学生的做法不犯罪？？？呵呵呵呵,1,0,0,-1,-1
35,对，我就是九亿少女，林狗是是我的，大新哥也是我的,0,0,0,-1,-1
