ID,text,sexism,gender,hostile,misogyny,misandry
3,女人外表不好看是投胎品味差，或者身材管理品味差，或者打扮的品味差，或者都差呗！,1,0,1,-1,-1
8,贤惠本身并不是什么贬义词，只不过在这个网络横行的时代，已经没几个词算是好词了。,0,0,0,-1,-1
9,这楼真可怕，挺多田原女犬还是很能讲歪理的,1,0,1,-1,-1
12,男权为了反女权真是什么恶都能作，高。,0,0,0,-1,-1
13,这么防的话，受损失的更多是女性，因为强奸是客观的物理伤害，但是污蔑的伤害的前提是「信任」,0,0,0,-1,-1
18,挑选范围窄了，自身条件不好，遇到好男人的机会也就少了呀，嫁个酒鬼赌鬼家暴岂不完蛋，嫁人的确简单，但是能保证嫁了人的生活比不嫁人好，就不简单了。,0,0,0,-1,-1
19,是啊，看男主角就不舒服，愤青搁哪都让人烦，把这个角色改改能让电影好看很多。,0,0,0,-1,-1
20,外甥女小时候看西游记动画片，跟着唱主题曲，有一天我看她一直唱：小八棍儿，小八棍儿，，，正确字幕我忘记了(~_~;),0,0,0,-1,-1
22,贤惠一听就是取悦男人的，同样的，夸小孩子乖一看就是取悦大人的，夸要夸到点子上，要夸人的本质，比如贤惠可以换成勤快啦。,1,0,0,-1,-1
24,前男票说要一起去美国，然后养条金毛，本来怕狗的，唯独喜欢上了大金毛哈哈,0,0,0,-1,-1
25,呵呵，对女性的深深的恶意啊...,1,0,0,-1,-1
26,233666为小仙女老司机疯狂打胎！,1,0,1,-1,-1
27,这个女的是让我最恶心的一个,1,0,1,-1,-1
28,女娃子太狠了没打过,1,0,0,-1,-1
31,我相信你肯定是个码农，不过你把女生说得太不堪入目吧，为什么打比喻不能换成男的。像那些医学生的尸体人模什么的都用男生的。,1,0,0,-1,-1
32,不是说女的出轨么？,1,0,0,-1,-1
33,日本女人脑子莫不是有病？当时日本女的地位那么低还有这自信为国争光啊，感觉你说的不太真实,1,0,1,-1,-1
34,女大学生的做法不犯罪？？？呵呵呵呵,1,0,0,-1,-1
35,对，我就是九亿少女，林狗是是我的，大新哥也是我的,0,0,0,-1,-1
39,真真假假都是听别人说的，不是当事人都不知道这些事情。我听说的版本就跟你的不一样，但我不会去为不能够证实的事情发声。不是当事人，何必女人为难女人。,0,0,0,-1,-1
41,这还不算不自爱？这还不算作践自己？都为了钱跟一个老男人上床了！在你眼里什么才叫不自爱？！,1,0,1,-1,-1
42,啊，对这个主播真的很反感，恶心至极的好吗？还是个话痨，不管男的女的，敢叫小哥哥换装备，一梭子子弹打死你,0,0,1,-1,-1
45,《清华简》中的记载，夏姬实际上是母女两人，后来的记载弄串了，结果强行解释为她有驻颜秘术的科幻技能。,0,0,0,-1,-1
46,看样子是我太长时间内上网了，竟然贤惠是个不好的词了。,0,0,0,-1,-1
