ID,text,sexism,gender,hostile,misogyny,misandry
0,一般在床上让女友喊爸爸,1,1,0,-1,-1
2,非常实用，我以前非常不屑粉色，现在特别萌一些少女的东西。但是能令我产生一点点愉悦的东西都很珍惜！,0,1,0,-1,-1
5,无色透明看都看不到，难道女性在你眼中的形象就是看不到的么？这是对女性的忽视，你个直男癌（滑稽）,1,1,1,-1,-1
6,对啊、我就感觉这难道不是校园欺凌造成的凄惨后果吗？为什么答主还有一些人就觉得这个男生活该这样呢？,0,1,0,-1,-1
7,如果玩 被拍摄，然后女方告丈夫婚内强奸并要求离婚，家产归女方。法院支持不？,0,1,0,-1,-1
10,其实根本就不是题主抢着掏钱好吗？而且你不掏男友也不掏这样很尴尬好吗？！！！男生不应该主动吗？！,0,1,0,-1,-1
11,爆出来的大多是男生，艾滋病确实有潜伏期。但是不可能女生的潜伏期比男生长吧，男生得病的多，这是事实啊。,0,1,0,-1,-1
14,就跟夸男的，踏实这个词一样吧。,0,1,0,-1,-1
16,我就是觉得男主太可怜[大哭],0,1,0,-1,-1
17,只是因为喜欢看女生打篮球[捂嘴],0,1,0,-1,-1
21,天啊年少不懂事的时候看觉得哇怎么会有书桓这么好的男人到现在才搞懂剧情的我非常恶心这种人,1,1,1,-1,-1
29,我跟你说我和女朋友玩游戏对面有女的，我不杀她，我女朋友杀我，懂我意思吧。,0,1,0,-1,-1
36,我真的佛了，一个大男人怎么能做到这么恶心，祝他早日凉凉（真的很心疼我大哥了）,0,1,0,-1,-1
37,那个说自己女朋友穿肯定不好看的男的真恶心，买不起不能努力赚钱或者直说没钱吗！,1,1,1,-1,-1
40,看了很多的回答，必须承认国内有这种现象。,0,1,0,-1,-1
43,他可能需要一个爱他疼他保护他的男朋友,0,1,0,-1,-1
47,因为他们知晓，欺负你并不需要承担什么后果，如果是一个满脸横肉全身雄壮的男性，看起来就不好惹，想来也是没有谁会随便敢去挑事儿的,0,1,0,-1,-1
50,妹子的标签是讨厌直男癌。。。自己却一语道出自己就是个直男癌,1,1,1,-1,-1
53,婊子配狗天长地久！你该跪着初恋不娶之恩。这种男人和这种朋友，要他们何用！当初你可能是恶心，现在过了那么久，反过来看，你该庆幸，命中没有这一劫！,1,1,1,-1,-1
61,首先，那些成天埋怨现在女性不乐意生孩子，害怕自己没孩子传宗接代的男性他们的基因到底是有多好，家底是有多丰厚。,1,1,0,-1,-1
63,男性会受到诸多道德绑架。,0,1,0,-1,-1
65,我觉得挺好看的啊，萌萌的男孩子穿的萌萌的风格了。有自己的感觉挺好的,0,1,0,-1,-1
70,有几例。新疆还有报假警伏击警察的案例不少。另我没说这件事妇女是袭警。是暴力抗法。 文上半部讲的是执法难处和风险。,0,1,0,-1,-1
72,微操，走位躲女警q,0,1,0,-1,-1
73,这种人玩游戏就是侮辱游戏群体，我也见过，这种人一起说玩游戏不如说就是冲着女人去的，也怪不得去玩那种垃圾游戏,1,1,0,-1,-1
78,其实男性读到这句话并不会认为这是在歧视男性，他们觉得无所谓，不会在这些地方计较。,0,1,0,-1,-1
79,男朋友要不要啊小哥哥,0,1,0,-1,-1
81,我的主页怎么了，太奇怪了，请你说说田园女权的标准吧，你咬文嚼字有意思吗，本人没有性别偏见，你收好你的玻璃豆腐心吧,1,1,0,-1,-1
88,包括的，男性的强制性交归于强制猥亵罪，视情节轻重有时不比强奸罪轻，你可以看一下我的职业,0,1,0,-1,-1
92,兄弟说的好啊我虽然不敢说但是我给你赞我管有没有女孩子关注我（滑稽,0,1,0,-1,-1
94,我想问问题主是女生还是男生，为什么我这么讨厌你的文章,0,1,0,-1,-1
95,是啊，娶她们的男人何尝不也是可怜人，逼他们娶妻的这些亲属何尝又不也是可怜人么，这也只能说是社会问题。。。,0,1,0,-1,-1
